rank,account_id,account_type,score,tier,intent_score_missing,reasoning,opener
29,ACC-01102,Prospect,0.10783694502697466,High,False,Rank #29 (High priority). 29-person Prospect in Professional Services stands out because of 1 MQL(s) in the last 90 days; 10 web touchpoints recently; 1 sales contacts already logged.,Someone on your side showed interest recently. Still looking at workflow tooling?
30,ACC-00101,Former Customer,0.10684008407039038,High,False,Rank #30 (High priority). 30-person Former Customer in Manufacturing stands out because of 2 MQL(s) in the last 90 days; 6 sales contacts already logged; vendor intent reading 45.6.,Wanted to reconnect — what's changed for your Manufacturing team since Cordilla?
31,ACC-00175,Former Customer,0.10628786068898238,Medium,False,,
32,ACC-00260,Prospect,0.1061160830407632,Medium,False,,
33,ACC-00506,Suspect,0.10604810116440141,Medium,False,,
34,ACC-00076,Suspect,0.10311322001047164,Medium,False,,
35,ACC-00935,Suspect,0.10240259693077054,Medium,True,,
36,ACC-00802,Prospect,0.10216062385316477,Medium,False,,
37,ACC-00828,Prospect,0.10121894180391575,Medium,False,,
38,ACC-00527,Suspect,0.09929880086327554,Medium,False,,
39,ACC-01415,Prospect,0.0978322737413732,Medium,True,,
40,ACC-00730,Suspect,0.09757081236463523,Medium,False,,
41,ACC-00873,Prospect,0.09678499033697463,Medium,True,,
42,ACC-01493,Prospect,0.09569658236626725,Medium,False,,
43,ACC-00570,Prospect,0.09539632839806324,Medium,True,,
44,ACC-01471,Former Customer,0.0950813307224932,Medium,False,,
45,ACC-00915,Prospect,0.09501886788438467,Medium,False,,
46,ACC-01021,Prospect,0.09493761786388115,Medium,False,,
47,ACC-00082,Prospect,0.09421547420149011,Medium,False,,
48,ACC-00758,Suspect,0.09410274838523036,Medium,True,,
49,ACC-00183,Prospect,0.09390799678253292,Medium,False,,
50,ACC-01386,Suspect,0.0934513979973762,Medium,False,,
51,ACC-00421,Suspect,0.09226289219416876,Medium,False,,
52,ACC-01128,Suspect,0.09209820670381863,Medium,True,,
53,ACC-00962,Prospect,0.09170971703162659,Medium,False,,
54,ACC-00787,Former Customer,0.0906834440762641,Medium,False,,
55,ACC-00391,Former Customer,0.0893375356770386,Medium,True,,
56,ACC-00839,Prospect,0.08920446052655882,Medium,False,,
57,ACC-01394,Suspect,0.08826302031049164,Medium,True,,
58,ACC-00042,Prospect,0.08824699546555363,Medium,False,,
59,ACC-00525,Prospect,0.08814372839602577,Medium,False,,
60,ACC-00270,Suspect,0.08755912602863473,Medium,False,,
61,ACC-01326,Former Customer,0.08733723282712451,Medium,False,,
62,ACC-00989,Suspect,0.08684647485124945,Medium,True,,
63,ACC-01008,Prospect,0.08684647485124945,Medium,True,,
64,ACC-01404,Suspect,0.08423324074642272,Medium,True,,
65,ACC-01440,Prospect,0.08404799046149894,Medium,False,,
66,ACC-00690,Prospect,0.08355112935570029,Medium,True,,
67,ACC-01289,Prospect,0.08355112935570029,Medium,True,,
68,ACC-00200,Prospect,0.08338605388980742,Medium,False,,
69,ACC-01429,Suspect,0.08275530760158395,Medium,True,,
70,ACC-01043,Former Customer,0.08266988385239853,Medium,False,,
71,ACC-01334,Suspect,0.08175445106980246,Medium,False,,
72,ACC-00233,Prospect,0.07996952485132162,Medium,False,,
73,ACC-00323,Prospect,0.07955427291334784,Medium,True,,
74,ACC-01411,Prospect,0.07954199806076186,Medium,False,,
75,ACC-01475,Suspect,0.07834794029739756,Medium,False,,
76,ACC-00718,Prospect,0.07784778767648635,Medium,False,,
77,ACC-00887,Prospect,0.07770539894494244,Medium,False,,
78,ACC-00414,Prospect,0.07757703759970261,Medium,True,,
79,ACC-01432,Suspect,0.0775199048887803,Medium,False,,
80,ACC-00631,Prospect,0.07656075349865811,Medium,True,,
81,ACC-00501,Suspect,0.07643744130444105,Medium,False,,
82,ACC-01414,Prospect,0.07633136106572597,Medium,False,,
83,ACC-01100,Prospect,0.07562761093968497,Medium,False,,
84,ACC-00461,Suspect,0.07560638561495713,Medium,True,,
85,ACC-01179,Suspect,0.0755838240105348,Medium,False,,
86,ACC-00629,Prospect,0.07502559996471315,Medium,True,,
87,ACC-01333,Suspect,0.07499235535523835,Medium,True,,
88,ACC-01157,Suspect,0.0742399253387425,Medium,False,,
89,ACC-01214,Former Customer,0.07353761696611616,Medium,True,,
90,ACC-00160,Suspect,0.07323581038377505,Medium,False,,
91,ACC-00700,Suspect,0.07297778957086674,Low,True,,
92,ACC-00492,Suspect,0.07238862700438783,Low,True,,
93,ACC-00431,Prospect,0.07158461603440144,Low,True,,
94,ACC-01416,Prospect,0.07104518709883523,Low,False,,
95,ACC-00285,Suspect,0.0706729493953822,Low,False,,
96,ACC-00735,Prospect,0.07056994818026825,Low,True,,
97,ACC-00581,Suspect,0.07055151330668906,Low,True,,
98,ACC-00398,Suspect,0.07033695634946249,Low,True,,
99,ACC-00041,Prospect,0.07006174329264118,Low,False,,
100,ACC-00112,Prospect,0.06979299013168544,Low,False,,
101,ACC-01459,Suspect,0.06935069797198619,Low,False,,
102,ACC-01151,Prospect,0.06909317629678764,Low,False,,
103,ACC-01177,Former Customer,0.06870148587318814,Low,False,,
104,ACC-00552,Prospect,0.06781443943149847,Low,False,,
105,ACC-00479,Prospect,0.0663891527055778,Low,False,,
106,ACC-00687,Prospect,0.0663153776279458,Low,True,,
107,ACC-00186,Suspect,0.06610790942333937,Low,False,,
108,ACC-00086,Prospect,0.06541165661116945,Low,False,,
109,ACC-00438,Prospect,0.06508885191105332,Low,False,,
110,ACC-00264,Suspect,0.06427785553527147,Low,False,,
111,ACC-00806,Prospect,0.06404574899000844,Low,False,,
112,ACC-00015,Prospect,0.06404574899000844,Low,True,,
113,ACC-00934,Prospect,0.0633673830547969,Low,False,,
114,ACC-01091,Prospect,0.06296333076285823,Low,False,,
115,ACC-00558,Prospect,0.06256893131831724,Low,False,,
116,ACC-00191,Prospect,0.06253597141630658,Low,False,,
117,ACC-00908,Suspect,0.06250432815985645,Low,False,,
118,ACC-00315,Suspect,0.062491824676382424,Low,True,,
119,ACC-00883,Prospect,0.06231185223008794,Low,True,,
120,ACC-01020,Suspect,0.06191247621078546,Low,False,,
121,ACC-01352,Former Customer,0.06079311905488056,Low,True,,
122,ACC-01269,Suspect,0.06040697035214475,Low,False,,
123,ACC-00564,Prospect,0.060387990113290727,Low,True,,
124,ACC-00392,Prospect,0.06009750825384082,Low,False,,
125,ACC-00682,Former Customer,0.05936432942600208,Low,False,,
126,ACC-00483,Prospect,0.058934825969988947,Low,False,,
127,ACC-00776,Suspect,0.05839778385725003,Low,False,,
128,ACC-01033,Suspect,0.05818866319005222,Low,False,,
129,ACC-00268,Former Customer,0.05780248533593858,Low,False,,
130,ACC-00067,Prospect,0.0575535356773308,Low,False,,
131,ACC-00070,Prospect,0.05754847747439209,Low,False,,
132,ACC-01135,Prospect,0.05750024955761577,Low,False,,
133,ACC-00498,Prospect,0.057175315707558697,Low,False,,
134,ACC-01227,Suspect,0.056955287729839765,Low,False,,
135,ACC-00284,Suspect,0.05691834169751893,Low,True,,
136,ACC-00433,Former Customer,0.05675056282920454,Low,False,,
137,ACC-00011,Suspect,0.05665453010380998,Low,True,,
138,ACC-01229,Prospect,0.0564704421190701,Low,False,,
139,ACC-00789,Suspect,0.05637843055562307,Low,False,,
140,ACC-00833,Prospect,0.05615516210210596,Low,False,,
141,ACC-00359,Former Customer,0.05614273861928683,Low,False,,
142,ACC-01337,Prospect,0.055794870024035784,Low,False,,
143,ACC-01340,Prospect,0.05568157707842572,Low,False,,
144,ACC-00870,Suspect,0.05552714020210112,Low,False,,
145,ACC-00550,Suspect,0.055462798655196405,Low,False,,
146,ACC-00531,Prospect,0.05536399783101281,Low,True,,
147,ACC-00418,Suspect,0.05528765249595287,Low,True,,
148,ACC-00208,Prospect,0.054188462657601535,Low,True,,
149,ACC-01290,Suspect,0.054122112913932555,Low,False,,
150,ACC-00299,Suspect,0.05402246211682925,Low,True,,
151,ACC-01434,Suspect,0.05402246211682925,Low,False,,
152,ACC-01377,Prospect,0.05300676339230777,Low,True,,
153,ACC-01026,Prospect,0.05250022646630769,Low,True,,
154,ACC-00366,Suspect,0.05245428813947127,Low,False,,
155,ACC-01293,Suspect,0.05204090366953759,Low,False,,
156,ACC-01038,Prospect,0.051480062756581235,Low,False,,
157,ACC-00109,Suspect,0.05128539230810938,Low,False,,
158,ACC-01442,Prospect,0.05097705590606378,Low,False,,
159,ACC-00778,Prospect,0.050896603887925856,Low,False,,
160,ACC-00369,Prospect,0.050762452256607256,Low,False,,
161,ACC-00049,Prospect,0.05066287025632632,Low,False,,
162,ACC-00980,Suspect,0.05053377622921996,Low,False,,
163,ACC-01201,Prospect,0.05049885106280486,Low,True,,
164,ACC-00150,Prospect,0.050213089907480135,Low,False,,
165,ACC-00272,Prospect,0.05019108787490342,Low,False,,
166,ACC-00144,Prospect,0.050096025152385815,Low,False,,
167,ACC-01212,Prospect,0.049936573321390496,Low,False,,
168,ACC-01192,Prospect,0.04957583762372842,Low,False,,
169,ACC-00808,Prospect,0.04949474169780407,Low,False,,
170,ACC-00423,Former Customer,0.04941650725461197,Low,False,,
171,ACC-00275,Suspect,0.049379659842334306,Low,False,,
172,ACC-00960,Suspect,0.04928605422917332,Low,False,,
173,ACC-00295,Prospect,0.049173324573055385,Low,False,,
174,ACC-01266,Suspect,0.049173324573055385,Low,False,,
175,ACC-00362,Suspect,0.0486749335358182,Low,False,,
176,ACC-00116,Prospect,0.048446781882751117,Low,False,,
177,ACC-00289,Prospect,0.048354854709791256,Low,False,,
178,ACC-00722,Suspect,0.04834438472346346,Low,False,,
179,ACC-00587,Former Customer,0.0482502835319303,Low,False,,
180,ACC-01257,Suspect,0.04816326366723395,Low,False,,
181,ACC-00471,Prospect,0.04816326366723395,Low,False,,
182,ACC-00043,Suspect,0.04796175472597977,Low,False,,
183,ACC-01349,Suspect,0.04796175472597977,Low,False,,
184,ACC-00803,Prospect,0.04775470041351147,Low,False,,
185,ACC-00481,Former Customer,0.0473981123071941,Low,True,,
186,ACC-00906,Former Customer,0.04727625781623265,Low,False,,
187,ACC-00910,Prospect,0.04725222353561751,Low,False,,
188,ACC-00124,Prospect,0.04725222353561751,Low,False,,
189,ACC-00889,Prospect,0.04725222353561751,Low,False,,
190,ACC-01208,Prospect,0.04725222353561751,Low,False,,
191,ACC-01464,Suspect,0.047191202610269586,Low,False,,
192,ACC-01456,Prospect,0.047152226083723534,Low,False,,
193,ACC-00376,Former Customer,0.04706033064906182,Low,False,,
194,ACC-00080,Former Customer,0.0470583256440241,Low,False,,
195,ACC-00416,Prospect,0.04693483750103312,Low,False,,
196,ACC-00345,Suspect,0.04686504024734423,Low,True,,
197,ACC-00779,Suspect,0.04672803734251503,Low,False,,
198,ACC-01225,Prospect,0.04657637152526574,Low,False,,
199,ACC-00541,Suspect,0.04631195067318344,Low,False,,
200,ACC-00317,Prospect,0.04623976034430188,Low,False,,
201,ACC-00537,Prospect,0.046148349023860266,Low,False,,
202,ACC-00288,Suspect,0.04604590978124484,Low,False,,
203,ACC-00800,Suspect,0.0458414895354208,Low,False,,
204,ACC-00536,Prospect,0.04575404761667955,Low,True,,
205,ACC-01263,Former Customer,0.045742444853988935,Low,False,,
206,ACC-00586,Prospect,0.045573828573704685,Low,False,,
207,ACC-01185,Former Customer,0.04553259304095147,Low,False,,
208,ACC-00561,Prospect,0.04545347414143639,Low,False,,
209,ACC-00967,Suspect,0.04542453825799201,Low,True,,
210,ACC-00313,Prospect,0.04533729386290235,Low,True,,
211,ACC-00429,Suspect,0.04514835308398433,Low,False,,
212,ACC-00852,Prospect,0.04509704172765393,Low,False,,
213,ACC-00476,Suspect,0.04501104925329573,Low,False,,
214,ACC-00702,Prospect,0.0449740672629575,Low,False,,
215,ACC-01145,Prospect,0.0449628667716611,Low,False,,
216,ACC-00707,Prospect,0.0449628667716611,Low,False,,
217,ACC-00619,Prospect,0.044887585320497324,Low,False,,
218,ACC-00898,Prospect,0.04486286529064051,Low,True,,
219,ACC-00093,Prospect,0.04429563603191208,Low,False,,
220,ACC-00001,Suspect,0.04424130540265227,Low,False,,
221,ACC-01495,Suspect,0.04424130540265227,Low,False,,
222,ACC-00748,Prospect,0.0441243072986949,Low,False,,
223,ACC-01164,Suspect,0.0440931309640776,Low,False,,
224,ACC-00358,Prospect,0.04402322521522538,Low,True,,
225,ACC-01271,Prospect,0.04402322521522538,Low,False,,
226,ACC-00598,Suspect,0.04402322521522538,Low,False,,
227,ACC-00453,Former Customer,0.043994773562994506,Low,False,,
228,ACC-01300,Prospect,0.04364317219105336,Low,True,,
229,ACC-00077,Prospect,0.04364317219105336,Low,True,,
230,ACC-00824,Former Customer,0.04354866039399014,Low,True,,
231,ACC-00267,Former Customer,0.043544776166441895,Low,True,,
232,ACC-00940,Former Customer,0.043495204267301246,Low,True,,
233,ACC-01354,Former Customer,0.043495204267301246,Low,True,,
234,ACC-01353,Suspect,0.04344122402882725,Low,True,,
235,ACC-00420,Prospect,0.04344122402882725,Low,True,,
236,ACC-00386,Prospect,0.04318694349159036,Low,True,,
237,ACC-01144,Suspect,0.04318694349159036,Low,True,,
238,ACC-00752,Suspect,0.043172154381813155,Low,False,,
239,ACC-00136,Suspect,0.04300966100472777,Low,False,,
240,ACC-01299,Suspect,0.04299880193329349,Low,False,,
241,ACC-00228,Prospect,0.042932817864562246,Low,True,,
242,ACC-00095,Suspect,0.042932817864562246,Low,True,,
243,ACC-00701,Prospect,0.04274989369118982,Low,False,,
244,ACC-01311,Prospect,0.0427340098176761,Low,True,,
245,ACC-01168,Former Customer,0.04266850533320726,Low,True,,
246,ACC-01178,Prospect,0.0425542006373096,Low,True,,
247,ACC-00876,Prospect,0.042164407031944365,Low,True,,
248,ACC-00602,Prospect,0.04211633736574739,Low,True,,
249,ACC-00130,Prospect,0.04211633736574739,Low,True,,
250,ACC-01235,Prospect,0.04211633736574739,Low,True,,
251,ACC-00901,Prospect,0.04211633736574739,Low,True,,
252,ACC-01165,Prospect,0.04211633736574739,Low,True,,
253,ACC-00732,Suspect,0.04211633736574739,Low,True,,
254,ACC-01287,Suspect,0.04211633736574739,Low,True,,
255,ACC-00597,Suspect,0.04203954397404417,Low,True,,
256,ACC-01045,Suspect,0.04197278376367591,Low,False,,
257,ACC-00236,Prospect,0.041921144569072595,Low,True,,
258,ACC-00237,Suspect,0.041921144569072595,Low,True,,
259,ACC-00717,Prospect,0.041921144569072595,Low,True,,
260,ACC-01193,Former Customer,0.04187422559363654,Low,False,,
261,ACC-00539,Prospect,0.04187260651576102,Low,True,,
262,ACC-00900,Suspect,0.0417254585415083,Low,True,,
263,ACC-01025,Prospect,0.041674142888495504,Low,True,,
264,ACC-00864,Suspect,0.041674142888495504,Low,True,,
265,ACC-00625,Prospect,0.041674142888495504,Low,True,,
266,ACC-01092,Prospect,0.041674142888495504,Low,True,,
267,ACC-00470,Suspect,0.041674142888495504,Low,True,,
268,ACC-00805,Prospect,0.041674142888495504,Low,True,,
269,ACC-00151,Suspect,0.041674142888495504,Low,True,,
270,ACC-00131,Prospect,0.041674142888495504,Low,True,,
271,ACC-00449,Prospect,0.04149859991687924,Low,True,,
272,ACC-00697,Former Customer,0.04146825696219563,Low,True,,
273,ACC-00273,Former Customer,0.04139031485025373,Low,False,,
274,ACC-00577,Suspect,0.041338834009766186,Low,True,,
275,ACC-01073,Prospect,0.04088057695028009,Low,True,,
276,ACC-01319,Prospect,0.04088057695028009,Low,True,,
277,ACC-00763,Suspect,0.04088057695028009,Low,True,,
278,ACC-00018,Prospect,0.04088057695028009,Low,True,,
279,ACC-01027,Prospect,0.04088057695028009,Low,True,,
280,ACC-00504,Prospect,0.04088057695028009,Low,True,,
281,ACC-00659,Suspect,0.04088057695028009,Low,True,,
282,ACC-00467,Prospect,0.04088057695028009,Low,True,,
283,ACC-01428,Prospect,0.04088057695028009,Low,True,,
284,ACC-00161,Former Customer,0.04060192462864469,Low,True,,
285,ACC-01383,Former Customer,0.04060192462864469,Low,True,,
286,ACC-01282,Prospect,0.040121218294204015,Low,True,,
287,ACC-00614,Prospect,0.039889252851696824,Low,True,,
288,ACC-00972,Suspect,0.03972853515385622,Low,True,,
289,ACC-00287,Prospect,0.039653727681091884,Low,True,,
290,ACC-00021,Prospect,0.039653727681091884,Low,True,,
291,ACC-00941,Prospect,0.039653727681091884,Low,True,,
292,ACC-00624,Suspect,0.039653727681091884,Low,False,,
293,ACC-00669,Suspect,0.039653727681091884,Low,True,,
294,ACC-01373,Suspect,0.03963352367175378,Low,True,,
295,ACC-00617,Prospect,0.03915665610199495,Low,False,,
296,ACC-00033,Prospect,0.03894510831852599,Low,True,,
297,ACC-00334,Prospect,0.03889707325698896,Low,False,,
298,ACC-01385,Prospect,0.03889707325698896,Low,False,,
299,ACC-00402,Prospect,0.038534870243063554,Low,True,,
300,ACC-00633,Prospect,0.03807069756638674,Low,False,,
